model,term,beta,standard_error,hazard_ratio,ci_95_low,ci_95_high,p_value,n,events
f2_rs1799963_carrier_cox_five_factor_adjusted,other_unknown_sex,-0.11070688752744075,0.09895129800447673,0.8952011050865714,0.7373803570803077,1.0868000630249228,0.26322471566891015,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc1,-2.002148902206444,0.23657862973065474,0.13504477319847943,0.0849372087151785,0.2147126217601937,2.607373216538187e-17,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc2,2.6842770467544677,0.5462487094862127,14.64760801571621,5.021002305186428,42.73099424002506,8.922767215267097e-07,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc3,-3.7942713689713403,0.5079236968984995,0.02249929352910087,0.00831410495044016,0.06088667539394489,8.00972670271355e-14,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc4,2.696899413028732,1.4539320780161589,14.833667272874495,0.8582949621156678,256.3660448617365,0.06361042925565215,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc5,3.669820497056137,2.340220452308123,39.244860659986365,0.39971176086471494,3853.174309632141,0.1168457516883622,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc6,3.5727997136491827,1.8207059209748413,35.61616876881208,1.0042250088278974,1263.174554126146,0.04972574686030106,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc7,0.63879189364487,2.2639271100111373,1.8941911121219202,0.02240423575086105,160.1465012750449,0.7778200760584971,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc8,3.2279527277632014,3.783661469616034,25.227955572567325,0.015176247274677554,41937.228015082714,0.39358756557479624,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc9,-7.612944442049134,4.105653853417432,0.0004940151160025096,1.5810191270279038e-07,1.5436305017875074,0.06370215542983905,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc10,-1.3802228117431456,4.11253178153787,0.2515225046481652,7.941803268802217e-05,796.5894923764303,0.7371620440864826,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc11,-9.990709925289968,4.057903068369096,4.5823663714300565e-05,1.6103971162843057e-08,0.13039070518495638,0.01381501835614119,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc12,10.797661963895855,4.096437573314666,48906.322613079974,15.93701387032159,150080084.7007356,0.008392277846892318,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc13,-2.3731504915690356,4.102888516969696,0.09318667947725134,2.9985039475703148e-05,289.602994821215,0.5629875506767672,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc14,3.042852691951743,4.087478961033706,20.964964597042734,0.0069528330339903325,63215.9205329001,0.4566147877152288,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc15,4.514389830460215,4.0891458854228135,91.32182722177018,0.030187235637170608,276264.9825694506,0.26959602602132726,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,genetic_pc16,5.600282890040694,4.129440212904429,270.50291918525113,0.08262690482221093,885569.0461259198,0.17504046630297276,347084,6749
f2_rs1799963_carrier_cox_five_factor_adjusted,ehr_observability_score_0_6,0.3076321562725805,0.012423570531486915,1.3602005556597399,1.3274794025329437,1.3937282552835322,2.303738079689471e-135,347084,6749
f5f2_carrier_cox_five_factor_adjusted,f5f2_carrier,0.6549413539041822,0.0409051032493023,1.9250296185943943,1.7767171283159633,2.085722579811066,1.066656977375588e-57,347084,6749
f5f2_carrier_cox_five_factor_adjusted,five_factor_count,0.4348077103792405,0.009244950565805517,1.5446660071515494,1.5169285614553099,1.5729106394835353,0.0,347084,6749
f5f2_carrier_cox_five_factor_adjusted,age_per_10y,0.11181213170680707,0.009123893785874491,1.118302747280439,1.0984820803639572,1.138481052108396,1.5820295247649917e-34,347084,6749
