domain,feature_name,concept_id,concept_name,final_disposition,target_feature,final_rationale,definition_source,infection_scope,manual_override_applied_05A,manual_override_applied_05A1,feature_label,status
condition,cancer_history,4242333,Benign neoplasm of clitoris,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,77234,Benign neoplasm of colon,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,373982,Benign neoplasm of conjunctiva,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,40486580,Benign neoplasm of connective tissue of head and/or neck,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,373160,Benign neoplasm of cornea,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,436936,Benign neoplasm of cranial nerve,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4241026,Benign neoplasm of craniopharyngeal duct,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,442104,Benign neoplasm of descending colon,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,436062,Benign neoplasm of duodenum,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,374886,Benign neoplasm of ear,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,136937,Benign neoplasm of endocrine gland,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,73723,Benign neoplasm of epididymis,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4241032,Benign neoplasm of epiglottis,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,24602,Benign neoplasm of esophagus,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4241648,Benign neoplasm of extrahepatic bile ducts,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,381252,Benign neoplasm of eye,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4242338,Benign neoplasm of face,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4114356,Benign neoplasm of face bone,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,198108,Benign neoplasm of fallopian tubes and uterine ligaments,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4239883,Benign neoplasm of female breast,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,201817,Benign neoplasm of female genital organ,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4241652,Benign neoplasm of femur,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,132573,Benign neoplasm of floor of mouth,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4241040,Benign neoplasm of foot,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4242343,Benign neoplasm of glomus jugulare,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4241043,Benign neoplasm of head,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,317814,Benign neoplasm of heart,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,433978,Benign neoplasm of hypopharynx,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,442098,Benign neoplasm of ileum,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
